"","ringnr","X","ID","sex","flok","type","name","firstyear","lastyear","missing","LRS","lambda","Rep.Value","FirstAge","Long","r","GT","flok_year","animal","tarsus_length","body_mass","lBM","lTL","lGT"
"1003","8M72656",2409,2409,"f",20,1,"Nesøy",2010,2012,0,2,2,1,1,2,1,1,"20 2010","8M72656",19.75,32.2,3.47196645255036,2.98315349134713,0
"1004","8M72664",2412,2412,"m",27,1,"Hestmannøy",2010,2011,0,1,1,1,1,1,1,1,"27 2010","8M72664",18.99,29.6,3.38777436133001,2.94391252482419,0
"1005","8M72673",2415,2415,"m",26,1,"Gjerøy",2010,2011,0,1,1,1,1,1,1,1,"26 2010","8M72673",20.0475,34.025,3.52709554853753,2.99810445769905,0
"1006","8M72677",2418,2418,"m",27,1,"Hestmannøy",2010,2011,0,1,1,1,1,1,1,1,"27 2010","8M72677",20.03,32.85,3.49195174493062,2.99723114967773,0
"1007","8M72680",2421,2421,"m",27,1,"Hestmannøy",2010,2012,0,1,1,1,1,2,0.5,1,"27 2010","8M72680",19.84,33.5,3.51154543883102,2.98770010185673,0
"1008","8M72736",2429,2429,"m",26,1,"Gjerøy",2010,2011,0,4,4,1,1,1,4,1,"26 2010","8M72736",20.31,35,3.55534806148941,3.01111337559229,0
"1009","8M72737",2430,2430,"f",26,1,"Gjerøy",2010,2012,0,5,2.56155281280883,0.539285596264911,1,2,2.5,1.8,"26 2010","8M72737",20.24,36.1,3.58629286533884,3.00766084441926,0.587786664902119
"1010","8M72739",2431,2431,"f",26,1,"Gjerøy",2010,2012,0,2,1.61803398874989,0.85065080835204,1,2,1,1.5,"26 2010","8M72739",19.965,31.5,3.44998754583159,2.99398074051518,0.405465108108164
"1011","8M72745",2433,2433,"f",22,2,"Myken",2010,2011,0,2,2,1,1,1,2,1,"22 2010","8M72745",19.01,31.9,3.4626060097908,2.94496515650034,0
"1012","8M72792",2441,2441,"m",28,1,"Indre-Kvarøy",2010,2012,0,2,1.4142135623731,0.577350269189626,2,2,1,2,"28 2010","8M72792",19.12,32,3.46573590279973,2.95073490762326,0.693147180559945
"1013","8M72797",2443,2443,"m",28,1,"Indre-Kvarøy",2010,2011,0,1,1,1,1,1,1,1,"28 2010","8M72797",19.65,30.5,3.41772668361337,2.97807733831527,0
"1014","8M72805",2444,2444,"f",26,1,"Gjerøy",2010,2011,0,3,3,1,1,1,3,1,"26 2010","8M72805",18.58,29.3,3.37758751602302,2.92208573338569,0
